iter	Logloss
0	0.6620923627
1	0.6369316001
2	0.6144146099
3	0.5910203866
4	0.5737534922
5	0.5590618443
6	0.5480550594
7	0.5376687685
8	0.5277818965
9	0.5200051945
10	0.5125879762
11	0.50690199
12	0.5015560287
13	0.4947133138
14	0.4902268235
15	0.4855252446
16	0.481630245
17	0.4780724363
18	0.4744552279
19	0.4688855547
20	0.464996599
21	0.4620785788
22	0.4581980743
23	0.456184219
24	0.4544223047
25	0.4521933466
26	0.4495710529
27	0.4478616252
28	0.4454920986
29	0.4439639317
30	0.442535757
31	0.4412968429
32	0.4399079609
33	0.4384670141
34	0.4369746376
35	0.4354583218
36	0.4337799843
37	0.4328268203
38	0.431893592
39	0.4308869313
40	0.4300835749
41	0.4293002555
42	0.4287592275
43	0.427437599
44	0.4265939009
45	0.4255048315
46	0.4247076251
47	0.4239678858
48	0.4224330898
49	0.4217190052
50	0.4210119855
51	0.4201887952
52	0.4194726514
53	0.4191184498
54	0.4185208321
55	0.4176166827
56	0.416886859
57	0.4163832166
58	0.4154096202
59	0.414137034
60	0.4134861887
61	0.4124609691
62	0.4117968103
63	0.4107736852
64	0.4102112035
65	0.4096341501
66	0.4090948717
67	0.4082715634
68	0.407557293
69	0.4067371035
70	0.4064301146
71	0.4056871344
72	0.4053630055
73	0.4043189071
74	0.4038473594
75	0.4030890615
76	0.4025756438
77	0.4022673316
78	0.4017647287
79	0.4013262222
80	0.4010485286
81	0.4007395839
82	0.4000500558
83	0.3994678775
84	0.3991747036
85	0.3989157493
86	0.3987007748
87	0.3981328234
88	0.3977549133
89	0.3975916208
90	0.3971366797
91	0.3966418136
92	0.3963794669
93	0.3960518719
94	0.3954913135
95	0.3950998337
96	0.3949114481
97	0.3947922191
98	0.3945887103
99	0.3942580324
100	0.3937042394
101	0.3935308387
102	0.3931645244
103	0.3926315666
104	0.3923179011
105	0.3919386129
106	0.3915971266
107	0.391396725
108	0.3911710997
109	0.3909777396
110	0.3907450899
111	0.3906098864
112	0.3903871925
113	0.3901366998
114	0.3896307208
115	0.3893527079
116	0.3892695138
117	0.3890163238
118	0.3887583865
119	0.3884366749
120	0.3879908684
121	0.3878746776
122	0.3877346401
123	0.3873112399
124	0.3869732604
125	0.3866764486
126	0.3865473266
127	0.3862381802
128	0.3858086901
129	0.3856326925
130	0.3855001086
131	0.385163408
132	0.3848687894
133	0.3846500339
134	0.3845576849
135	0.3843951016
136	0.3843030921
137	0.3838231532
138	0.3836324233
139	0.3832944656
140	0.3830055984
141	0.3828343159
142	0.3825309755
143	0.3822984774
144	0.3819615414
145	0.3815497046
146	0.3813994578
147	0.3811181134
148	0.3807567556
149	0.3806423382
