iter	Passed	Remaining
0	68	67980
1	122	61189
2	195	64913
3	256	63786
4	301	60049
5	348	57673
6	400	56823
7	456	56582
8	501	55255
9	551	54594
10	598	53838
11	651	53648
12	694	52734
13	735	51828
14	788	51768
15	840	51716
16	895	51786
17	948	51729
18	1004	51853
19	1057	51833
20	1114	51938
21	1169	51998
22	1221	51875
23	1275	51877
24	1332	51969
25	1391	52113
26	1448	52212
27	1502	52147
28	1560	52250
29	1615	52222
30	1668	52164
31	1713	51836
32	1763	51679
33	1816	51597
34	1868	51515
35	1917	51355
36	1972	51340
37	2032	51444
38	2083	51346
39	2142	51412
40	2193	51305
41	2248	51290
42	2335	51977
43	2423	52662
44	2504	53158
45	2577	53449
46	2654	53827
47	2716	53870
48	2776	53882
49	2852	54190
50	2922	54389
51	3000	54706
52	3079	55017
53	3135	54926
54	3188	54784
55	3248	54753
56	3302	54635
57	3355	54490
58	3412	54430
59	3471	54388
60	3525	54269
61	3575	54089
62	3628	53961
63	3682	53855
64	3737	53767
65	3786	53579
66	3839	53460
67	3899	53451
68	3955	53376
69	4010	53284
70	4065	53200
71	4116	53055
72	4167	52923
73	4221	52823
74	4275	52733
75	4330	52650
76	4383	52545
77	4434	52415
78	4491	52362
79	4540	52214
80	4588	52058
81	4640	51954
82	4695	51873
83	4748	51777
84	4799	51665
85	4852	51573
86	4909	51522
87	4959	51400
88	5005	51232
89	5055	51120
90	5106	51012
91	5158	50909
92	5210	50818
93	5263	50734
94	5315	50638
95	5366	50536
96	5420	50464
97	5470	50346
98	5518	50221
99	5574	50166
100	5630	50115
101	5685	50052
102	5737	49963
103	5794	49925
104	5847	49839
105	5903	49787
106	5956	49713
107	6010	49638
108	6069	49614
109	6127	49576
110	6186	49546
111	6239	49471
112	6297	49431
113	6357	49409
114	6414	49364
115	6467	49285
116	6527	49265
117	6601	49343
118	6661	49319
119	6740	49429
120	6809	49467
121	6881	49527
122	6937	49462
123	6993	49406
124	7050	49354
125	7122	49406
126	7205	49532
127	7280	49596
128	7360	49698
129	7439	49784
130	7512	49836
131	7591	49918
132	7660	49934
133	7732	49975
134	7795	49946
135	7851	49880
136	7922	49902
137	7980	49850
138	8036	49778
139	8094	49723
140	8156	49692
141	8216	49647
142	8275	49593
143	8331	49524
144	8389	49471
145	8442	49380
146	8495	49297
147	8548	49213
148	8604	49145
149	8661	49084
150	8712	48985
151	8764	48895
152	8829	48882
153	8895	48865
154	8948	48785
155	9002	48703
156	9053	48612
157	9103	48514
158	9157	48435
159	9213	48368
160	9269	48304
161	9334	48284
162	9388	48210
163	9445	48151
164	9505	48102
165	9563	48048
166	9618	47976
167	9670	47893
168	9735	47873
169	9798	47840
170	9871	47858
171	9928	47794
172	9982	47719
173	10037	47651
174	10089	47563
175	10142	47487
176	10195	47407
177	10246	47317
178	10297	47229
179	10349	47147
180	10397	47046
181	10450	46969
182	10511	46929
183	10567	46864
184	10622	46794
185	10674	46715
186	10723	46620
187	10778	46552
188	10833	46487
189	10895	46451
190	10956	46406
191	11005	46313
192	11067	46276
193	11121	46207
194	11178	46147
195	11239	46106
196	11303	46073
197	11364	46032
198	11417	45958
199	11472	45888
200	11526	45820
201	11580	45749
202	11636	45687
203	11690	45615
204	11747	45559
205	11810	45522
206	11870	45476
207	11929	45424
208	12002	45423
209	12068	45401
210	12124	45336
211	12181	45277
212	12231	45193
213	12299	45175
214	12371	45171
215	12444	45169
216	12499	45102
217	12562	45063
218	12632	45050
219	12703	45041
220	12764	44993
221	12820	44929
222	12883	44889
223	12941	44833
224	13003	44790
225	13061	44733
226	13126	44699
227	13193	44671
228	13245	44596
229	13301	44531
230	13356	44465
231	13409	44388
232	13464	44322
233	13522	44264
234	13575	44191
235	13630	44125
236	13683	44052
237	13738	43986
238	13789	43907
239	13841	43830
240	13891	43751
241	13945	43681
242	14001	43616
243	14055	43550
244	14109	43479
245	14164	43413
246	14219	43347
247	14274	43284
248	14333	43230
249	14385	43157
250	14438	43086
251	14489	43009
252	14551	42963
253	14603	42889
254	14668	42854
255	14736	42829
256	14801	42792
257	14866	42755
258	14933	42724
259	14997	42685
260	15060	42642
261	15121	42594
262	15190	42568
263	15254	42529
264	15312	42470
265	15363	42393
266	15411	42308
267	15467	42246
268	15512	42154
269	15564	42083
270	15612	41997
271	15661	41918
272	15702	41817
273	15755	41745
274	15807	41674
275	15861	41607
276	15912	41533
277	15964	41462
278	16020	41399
279	16074	41333
280	16120	41247
281	16174	41182
282	16224	41106
283	16274	41030
284	16328	40963
285	16383	40901
286	16437	40836
287	16489	40766
288	16544	40701
289	16595	40629
290	16650	40567
291	16700	40492
292	16757	40434
293	16810	40368
294	16864	40303
295	16922	40249
296	16976	40182
297	17029	40116
298	17086	40058
299	17140	39994
300	17194	39929
301	17247	39864
302	17303	39802
303	17356	39737
304	17404	39658
305	17455	39589
306	17502	39508
307	17560	39455
308	17610	39381
309	17664	39317
310	17715	39248
311	17766	39176
312	17852	39183
313	17902	39112
314	17954	39043
315	18005	38973
316	18052	38895
317	18107	38835
318	18167	38784
319	18219	38717
320	18271	38649
321	18323	38582
322	18379	38521
323	18427	38446
324	18479	38380
325	18531	38313
326	18584	38248
327	18635	38180
328	18693	38125
329	18748	38065
330	18806	38009
331	18875	37977
332	18929	37916
333	18985	37857
334	19035	37787
335	19088	37722
336	19142	37659
337	19197	37600
338	19248	37530
339	19302	37469
340	19355	37405
341	19410	37345
342	19463	37281
343	19516	37218
344	19571	37156
345	19624	37094
346	19677	37029
347	19729	36964
348	19783	36902
349	19836	36839
350	19893	36782
351	19947	36722
352	20002	36662
353	20053	36595
354	20111	36540
355	20168	36484
356	20221	36421
357	20275	36359
358	20323	36288
359	20375	36223
360	20428	36160
361	20481	36097
362	20537	36040
363	20587	35970
364	20640	35909
365	20693	35845
366	20744	35780
367	20796	35716
368	20847	35650
369	20904	35594
370	20961	35538
371	21014	35475
372	21068	35416
373	21118	35347
374	21174	35290
375	21227	35227
376	21280	35166
377	21334	35106
378	21386	35042
379	21443	34986
380	21497	34926
381	21548	34861
382	21599	34796
383	21654	34737
384	21705	34673
385	21758	34611
386	21813	34551
387	21865	34489
388	21917	34425
389	21967	34358
390	22018	34294
391	22071	34232
392	22126	34174
393	22182	34118
394	22235	34056
395	22288	33995
396	22342	33935
397	22396	33875
398	22449	33815
399	22502	33753
400	22555	33691
401	22606	33628
402	22653	33559
403	22706	33497
404	22758	33434
405	22816	33381
406	22870	33322
407	22920	33257
408	22972	33195
409	23028	33138
410	23082	33078
411	23131	33012
412	23185	32954
413	23234	32888
414	23287	32826
415	23341	32767
416	23393	32705
417	23445	32644
418	23502	32588
419	23546	32516
420	23600	32457
421	23653	32396
422	23704	32334
423	23760	32278
424	23814	32219
425	23868	32160
426	23921	32101
427	23973	32039
428	24031	31985
429	24078	31918
430	24122	31845
431	24171	31781
432	24224	31721
433	24278	31663
434	24332	31604
435	24387	31546
436	24438	31484
437	24488	31421
438	24540	31360
439	24595	31303
440	24652	31248
441	24708	31193
442	24762	31134
443	24815	31075
444	24870	31017
445	24922	30958
446	24966	30887
447	25019	30827
448	25070	30766
449	25119	30701
450	25176	30647
451	25230	30588
452	25282	30529
453	25338	30473
454	25392	30414
455	25446	30356
456	25501	30299
457	25555	30242
458	25606	30180
459	25660	30122
460	25715	30066
461	25765	30003
462	25812	29937
463	25863	29876
464	25911	29812
465	25965	29754
466	26020	29697
467	26076	29642
468	26126	29579
469	26182	29524
470	26229	29459
471	26287	29405
472	26342	29350
473	26394	29289
474	26448	29233
475	26502	29174
476	26565	29127
477	26626	29077
478	26680	29019
479	26732	28960
480	26780	28895
481	26836	28840
482	26888	28780
483	26942	28723
484	26994	28664
485	27049	28608
486	27099	28545
487	27154	28490
488	27207	28431
489	27259	28371
490	27317	28319
491	27369	28259
492	27427	28206
493	27480	28147
494	27529	28085
495	27573	28018
496	27628	27961
497	27684	27906
498	27741	27852
499	27796	27796
500	27854	27743
501	27917	27694
502	27976	27642
503	28025	27580
504	28079	27523
505	28138	27471
506	28194	27415
507	28247	27357
508	28295	27295
509	28353	27241
510	28405	27182
511	28452	27118
512	28507	27062
513	28561	27005
514	28615	26948
515	28669	26891
516	28718	26830
517	28769	26769
518	28827	26717
519	28889	26666
520	28947	26613
521	29007	26562
